COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","15245","SBS 4 R/B(PAM-D)","ROCKET BODY","U","84093F","2016-01-08 00:00:38","992320","2.68727687","0.6942572","22.5131","198.3625","227.4061","48.3295","0","999","28552","0.0006526","1.225e-05","0","1977636","0 SBS 4 R/B(PAM-D)","1 15245U 84093F   16008.00045130  .00001225  00000-0  65260-3 0  9991","2 15245  22.5131 198.3625 6942572 227.4061  48.3295  2.68727687285520","1984-093F","15245","21853.796","535.858","30647.817","303.505"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39127","ANIK G1","PAYLOAD","U","13014A","2016-01-08 00:01:08","942880","1.0027136","0.0002829","0.0434","261.9358","25.1615","72.8693","0","999","1001","0","-6.6e-07","0","1977569","0 ANIK G1","1 39127U 13014A   16008.00079795 -.00000066  00000-0  00000+0 0  9995","2 39127   0.0434 261.9358 0002829  25.1615  72.8693  1.00271360 10017","2013-014A","39127","42164.851","1436.102","35798.644","35774.787"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","26624","ANIK F1","PAYLOAD","U","00076A","2016-01-08 00:01:09","170976","1.0026571","0.0001551","0.0081","74.738","204.4912","80.7509","0","999","5549","0","-6.5e-07","0","1977704","0 ANIK F1","1 26624U 00076A   16008.00080059 -.00000065  00000-0  00000+0 0  9991","2 26624   0.0081  74.7380 0001551 204.4912  80.7509  1.00265710 55498","2000-076A","26624","42166.435","1436.183","35794.840","35781.760"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","35498","COSMOS 2451","PAYLOAD","U","09036A","2016-01-08 00:01:46","676352","12.40813342","0.0005931","82.4887","298.2783","210.6576","149.4156","0","999","29478","0.00015519","3.1e-07","0","1977574","0 COSMOS 2451","1 35498U 09036A   16008.00123468  .00000031  00000-0  15519-3 0  9994","2 35498  82.4887 298.2783 0005931 210.6576 149.4156 12.40813342294780","2009-036A","35498","7881.294","116.052","1507.833","1498.484"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","23590","ATLAS 2 CENTAUR R/B","ROCKET BODY","U","95027B","2016-01-08 00:02:56","389920","3.86220167","0.6106079","26.7248","270.9281","104.5334","326.8416","0","999","26268","0.0011591","3.912e-05","0","1978186","0 ATLAS 2 CENTAUR R/B","1 23590U 95027B   16008.00204155 +.00003912 +00000-0 +11591-2 0  9998","2 23590 026.7248 270.9281 6106079 104.5334 326.8416 03.86220167262687","1995-027B","23590","17159.786","372.844","21259.552","303.750"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","23208","SL-12 R/B(2)","ROCKET BODY","U","94050F","2016-01-08 00:04:42","198816","2.13427713","0.0026208","66.4757","326.0836","230.7294","358.51","0","999","16686","0","-4.2e-07","0","1978186","0 SL-12 R/B(2)","1 23208U 94050F   16008.00326619 -.00000042 +00000-0 +00000-0 0  9992","2 23208 066.4757 326.0836 0026208 230.7294 358.5100 02.13427713166864","1994-050F","23208","25482.065","674.701","19170.714","19037.147"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","18363","SCOUT G-1 R/B","ROCKET BODY","U","87080C","2016-01-08 00:05:11","974848","13.4372783","0.0104859","90.3464","317.9089","192.5299","211.4189","0","999","38795","1.3738e-05","1.6e-07","0","1977550","0 SCOUT G-1 R/B","1 18363U 87080C   16008.00361082  .00000016  00000-0  13738-4 0  9992","2 18363  90.3464 317.9089 0104859 192.5299 211.4189 13.43727830387956","1987-080C","18363","7473.561","107.164","1173.793","1017.059"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","4513","THOR BURNER 2 R/B","ROCKET BODY","U","70070B","2016-01-08 00:05:30","247584","14.32905822","0.0067009","98.9828","165.122","224.1443","135.4381","0","999","36372","5.1604e-05","9.7e-07","0","1977534","0 THOR BURNER 2 R/B","1 04513U 70070B   16008.00382231  .00000097  00000-0  51604-4 0  9997","2 04513  98.9828 165.1220 0067009 224.1443 135.4381 14.32905822363720","1970-070B","4513","7160.171","100.495","830.015","734.056"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39036","ARIANE 5 R/B","ROCKET BODY","U","12075C","2016-01-08 00:05:34","605600","2.33402772","0.7220401","2.3769","112.9578","53.9747","352.8173","0","999","2553","0.0001984","2.12e-06","0","1978186","0 ARIANE 5 R/B","1 39036U 12075C   16008.00387275 +.00000212 +00000-0 +19840-3 0  9993","2 39036 002.3769 112.9578 7220401 053.9747 352.8173 02.33402772025538","2012-075C","39036","24006.628","616.959","34962.241","294.745"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39227","KOMPSAT 5","PAYLOAD","U","13042A","2016-01-08 00:06:58","273632","15.04522486","0.0001735","97.6009","195.2841","86.9775","72.9284","0","999","13057","-5.0523e-07","-6.7e-07","0","1977514","0 KOMPSAT 5","1 39227U 13042A   16008.00484113 -.00000067  00000-0 -50523-6 0  9995","2 39227  97.6009 195.2841 0001735  86.9775  72.9284 15.04522486130579","2013-042A","39227","6931.108","95.711","554.176","551.771"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","11705","ATLAS 35F R/B","ROCKET BODY","U","80011B","2016-01-08 00:07:00","660864","4.97654568","0.5106978","63.8689","14.621","349.402","2.9742","0","999","64952","0.00097752","1.17e-06","0","1978186","0 ATLAS 35F R/B","1 11705U 80011B   16008.00486876 +.00000117 +00000-0 +97752-3 0  9990","2 11705 063.8689 014.6210 5106978 349.4020 002.9742 04.97654568649522","1980-011B","11705","14491.605","289.357","15514.301","712.639"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","14900","CZ-3 R/B","ROCKET BODY","U","84035B","2016-01-08 00:07:39","933120","2.33710431","0.7183845","30.5029","246.9006","43.5943","354.6088","0","999","20244","0.00098405","4.67e-06","0","1977518","0 CZ-3 R/B","1 14900U 84035B   16008.00532330  .00000467  00000-0  98405-3 0  9991","2 14900  30.5029 246.9006 7183845  43.5943 354.6088  2.33710431202446","1984-035B","14900","23985.555","616.147","34838.271","376.569"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","730","SOLRAD 7A","PAYLOAD","U","64001D","2016-01-08 00:07:44","824224","13.95540491","0.0016694","69.9048","181.2897","252.8625","250.144","0","999","52915","3.9256e-05","0","0","1977525","0 SOLRAD 7A","1 00730U 64001D   16008.00537991 -.00000000  00000-0  39256-4 0  9990","2 00730  69.9048 181.2897 0016694 252.8625 250.1440 13.95540491529159","1964-001D","730","7287.415","103.185","921.446","897.115"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","37744","GLOBALSTAR M089","PAYLOAD","U","11033F","2016-01-08 00:09:02","878848","12.62265855","0.0001283","51.9916","240.5716","93.0672","54.5269","0","999","20947","0.00020313","-6.7e-07","0","1977567","0 GLOBALSTAR M089","1 37744U 11033F   16008.00628332 -.00000067  00000-0  20313-3 0  9998","2 37744  51.9916 240.5716 0001283  93.0672  54.5269 12.62265855209479","2011-033F","37744","7791.742","114.080","1414.607","1412.608"
